Fecha asiento;Documento;Concepto;Debe;Haber
01/09/2026;OP-202609-01510;Cobro cliente;3.270,66;
01/09/2026;OP-202609-01558;Cobro cliente;1.168,83;
02/09/2026;;Proveedor;;1.331,98
02/09/2026;OP-202609-01455;Proveedor;;1.188,16
02/09/2026;OP-202609-01589;Cobro cliente;1.761,59;
03/09/2026;;Cobro cliente;2.865,65;
03/09/2026;OP-202609-01405;Proveedor;;1.266,36
03/09/2026;OP-202609-01414;Proveedor;;681,34
03/09/2026;OP-202609-01439;Proveedor;;988,76
03/09/2026;OP-202609-01440;Proveedor;;1.046,42
03/09/2026;OP-202609-01459;Proveedor;;1.540,33
03/09/2026;OP-202609-01474;Proveedor;;943,77
03/09/2026;OP-202609-01490;Proveedor;;687,76
03/09/2026;OP-202609-01505;Cobro cliente;1.846,43;
03/09/2026;OP-202609-01519;Cobro cliente;1.886,33;
03/09/2026;OP-202609-01528;Cobro cliente;3.588,02;
03/09/2026;OP-202609-01532;Cobro cliente;991,12;
03/09/2026;OP-202609-01635;Factura 2026-0831;;1.234,56
04/09/2026;;Proveedor;;1.277,24
04/09/2026;;Cobro cliente;3.342,45;
04/09/2026;OP-202609-01398;Proveedor;;1.163,26
04/09/2026;OP-202609-01418;Proveedor;;1.112,50
04/09/2026;OP-202609-01420;Proveedor;;1.091,19
04/09/2026;OP-202609-01441;Proveedor;;754,61
04/09/2026;OP-202609-01471;Proveedor;;1.011,28
04/09/2026;OP-202609-01480;Proveedor;;1.263,58
04/09/2026;OP-202609-01489;Proveedor;;1.175,44
04/09/2026;OP-202609-01506;Cobro cliente;2.183,67;
04/09/2026;OP-202609-01516;Cobro cliente;1.356,39;
04/09/2026;OP-202609-01539;Cobro cliente;2.947,71;
04/09/2026;OP-202609-01545;Cobro cliente;2.996,89;
05/09/2026;OP-202609-01367;Proveedor;;1.313,45
05/09/2026;OP-202609-01372;Proveedor;;721,27
05/09/2026;OP-202609-01485;Proveedor;;1.088,08
05/09/2026;OP-202609-01488;Proveedor;;1.242,23
05/09/2026;OP-202609-01497;Proveedor;;1.592,15
05/09/2026;OP-202609-01512;Cobro cliente;2.665,80;
05/09/2026;OP-202609-01526;Cobro cliente;2.254,03;
06/09/2026;;Cobro cliente;1.873,80;
06/09/2026;OP-202609-01375;Proveedor;;1.219,29
06/09/2026;OP-202609-01376;Proveedor;;1.330,13
06/09/2026;OP-202609-01407;Proveedor;;836,74
06/09/2026;OP-202609-01482;Proveedor;;1.013,34
06/09/2026;OP-202609-01541;Cobro cliente;2.814,90;
06/09/2026;OP-202609-01567;Cobro cliente;1.656,78;
07/09/2026;;Mantenimiento extraordinario;;6.480,90
07/09/2026;OP-202609-01410;Proveedor;;1.157,92
07/09/2026;OP-202609-01411;Proveedor;;1.329,31
07/09/2026;OP-202609-01423;Proveedor;;966,96
07/09/2026;OP-202609-01437;Proveedor;;832,48
07/09/2026;OP-202609-01458;Proveedor;;885,38
07/09/2026;OP-202609-01475;Proveedor;;1.080,81
07/09/2026;OP-202609-01501;Cobro cliente;1.584,27;
07/09/2026;OP-202609-01517;Cobro cliente;889,62;
